,total_sqft,bath,balcony,price,site_location,bhk
0,1755.0,3.0,1.0,122.0,Abdullapurmet,3
1,1436.0,3.0,1.0,74.75,Abdullapurmet,3
2,1475.0,3.0,2.0,78.29,Abdullapurmet,3
3,1850.0,3.0,3.0,150.0,Abdullapurmet,3
4,1511.0,3.0,1.0,95.0,Abdullapurmet,3
5,1630.0,3.0,2.0,85.0,Abdullapurmet,3
6,2300.0,3.0,3.0,120.0,Abdullapurmet,3
7,2500.0,6.0,2.0,115.0,Abdullapurmet,7
8,1396.0,2.0,1.0,86.51,Abdullapurmet,3
9,1480.0,3.0,2.0,90.0,Abdullapurmet,3
10,996.0,2.0,1.0,67.0,Abdullapurmet,2
12,1865.0,3.0,1.0,124.0,Abdullapurmet,3
14,1875.0,2.0,2.0,150.0,Abdullapurmet,3
15,1158.0,2.0,2.0,85.0,Abdullapurmet,3
16,1533.0,3.0,2.0,115.0,Abdullapurmet,3
23,1290.0,2.0,1.0,100.0,Abdullapurmet,2
24,2180.0,3.0,2.0,170.0,Abdullapurmet,3
27,1801.0,3.0,2.0,140.0,Abdullapurmet,3
28,2200.0,3.0,2.0,130.0,Abdullapurmet,3
30,525.0,1.0,1.0,30.0,Abdullapurmet,1
37,1400.0,2.0,1.0,82.0,Abdullapurmet,2
38,600.0,3.0,2.0,45.0,Abdullapurmet,2
41,1200.0,2.0,0.0,66.0,Abdullapurmet,3
42,1418.0,2.0,2.0,104.0,Abdullapurmet,2
44,1500.0,2.0,2.0,88.0,Abdullapurmet,2
46,2640.0,5.0,1.0,142.0,Abdullapurmet,3
47,1850.0,3.0,1.0,150.0,Abdullapurmet,3
49,530.0,1.0,1.0,29.44,Abdullapurmet,1
51,1890.0,3.0,2.0,108.0,Abdullapurmet,3
54,1000.0,2.0,1.0,62.0,Abdullapurmet,2
55,2000.0,4.0,2.0,145.0,Abdullapurmet,5
59,1500.0,3.0,2.0,104.0,Abdullapurmet,3
61,1785.0,3.0,2.0,120.0,Abdullapurmet,3
65,965.0,2.0,1.0,56.0,Abdullapurmet,2
69,1120.0,2.0,2.0,65.0,Abdullapurmet,2
72,1998.0,3.0,2.0,117.0,Abdullapurmet,3
73,600.0,1.0,0.0,45.0,Abdullapurmet,1
79,697.0,1.0,1.0,35.0,Abdullapurmet,1
80,1310.0,2.0,2.0,111.0,Abdullapurmet,2
81,1169.0,2.0,2.0,75.0,Abdullapurmet,2
83,1303.0,2.0,2.0,80.0,Abdullapurmet,2
85,1679.0,3.0,2.0,94.86,Abdullapurmet,3
86,2630.0,5.0,0.0,188.0,Abdullapurmet,4
89,703.0,2.0,1.0,60.0,Abdullapurmet,2
92,1881.0,3.0,2.0,145.0,Abdullapurmet,3
97,1441.0,2.0,1.0,115.0,Abdullapurmet,2
98,1633.0,3.0,2.0,110.0,Abdullapurmet,3
100,1200.0,2.0,0.0,66.0,Abdullapurmet,3
101,1980.0,4.0,2.0,166.0,Abdullapurmet,3
104,700.0,1.0,1.0,25.5,Abdullapurmet,1
106,1876.0,3.0,1.0,150.0,Abdullapurmet,3
108,615.0,1.0,1.0,43.08,Abdullapurmet,1
112,1012.0,2.0,1.0,62.0,Abdullapurmet,2
114,3050.0,5.0,1.0,213.0,Alwal,5
115,1933.0,3.0,1.0,129.0,Alwal,3
116,1192.0,2.0,2.0,74.0,Alwal,2
117,1933.0,3.0,2.0,140.0,Alwal,3
118,1155.0,2.0,2.0,42.74,Alwal,2
119,1374.0,2.0,2.0,95.0,Alwal,2
120,1160.0,2.0,2.0,40.61,Alwal,2
121,1141.0,2.0,1.0,42.79,Alwal,2
122,2238.0,3.0,1.0,140.0,Alwal,3
125,950.0,2.0,1.0,65.0,Alwal,2
128,1050.0,2.0,1.0,45.0,Alwal,2
129,845.0,2.0,1.0,33.0,Alwal,2
130,1370.0,2.0,1.0,56.17,Alwal,2
131,1331.0,2.0,1.0,107.0,Alwal,2
132,1350.0,1.0,0.0,100.0,Alwal,2
134,877.0,2.0,2.0,30.0,Alwal,2
135,1216.0,2.0,1.0,79.0,Alwal,2
136,1142.0,2.0,1.0,51.0,Alwal,2
137,1418.0,2.0,2.0,101.0,Alwal,2
138,3161.0,4.0,3.0,214.0,Alwal,4
139,1102.0,2.0,1.0,48.0,Alwal,2
141,1285.0,2.0,1.0,60.0,Alwal,2
143,940.0,2.0,1.0,56.8,Alwal,2
145,1200.0,2.0,3.0,45.0,Alwal,2
147,1200.0,2.0,0.0,70.0,Alwal,2
149,2500.0,3.0,3.0,200.0,Alwal,5
150,1730.0,3.0,2.0,100.0,Alwal,3
151,1880.0,3.0,2.0,94.36,Alwal,3
153,1464.0,2.0,2.0,56.0,Alwal,2
154,1200.0,2.0,2.0,62.0,Alwal,2
155,900.0,2.0,0.0,30.0,Alwal,2
156,950.0,2.0,1.0,40.0,Alwal,2
157,1216.0,2.0,1.0,69.06,Alwal,2
158,1548.3,4.0,1.0,129.0,Alwal,4
159,1140.0,2.0,2.0,46.0,Alwal,2
160,1243.0,2.0,2.0,46.0,Alwal,2
161,1185.0,2.0,2.0,58.0,Alwal,2
162,2100.0,6.0,0.0,92.0,Alwal,6
163,1200.0,2.0,1.0,46.13,Alwal,2
164,1500.0,3.0,0.0,75.0,Alwal,3
165,2400.0,3.0,3.0,140.0,Alwal,4
166,1520.0,3.0,2.0,111.0,Alwal,3
167,1107.83,2.0,1.0,41.51,Alwal,2
168,3150.0,5.0,2.0,145.0,Alwal,8
169,1333.0,2.0,2.0,77.27,Alwal,2
170,1229.0,2.0,2.0,70.0,Alwal,2
171,1200.0,2.0,1.0,52.0,Alwal,2
172,1050.0,2.0,2.0,55.5,Alwal,2
173,1920.0,3.0,2.0,130.0,Alwal,3
174,1350.0,3.0,2.0,68.0,Alwal,3
175,1052.0,2.0,1.0,60.0,Alwal,3
176,1620.0,3.0,2.0,90.0,Alwal,3
177,1655.0,3.0,2.0,131.0,Alwal,3
178,1333.0,2.0,1.0,104.0,Alwal,2
179,1768.0,3.0,3.0,95.0,Alwal,3
180,985.0,2.0,1.0,49.97,Alwal,2
182,2400.0,4.0,1.0,145.0,Alwal,4
183,1458.0,3.0,1.0,78.45,Alwal,3
184,1145.0,2.0,2.0,75.0,Alwal,2
185,1704.0,3.0,1.0,120.0,Alwal,3
186,3760.0,2.0,0.0,280.0,Alwal,2
187,1719.3,2.0,2.0,88.0,Alwal,3
188,1343.0,2.0,2.0,75.0,Alwal,2
189,1200.0,2.0,0.0,66.0,Alwal,3
190,1076.0,2.0,1.0,78.0,Alwal,2
191,1200.0,2.0,2.0,45.6,Alwal,2
192,1780.0,3.0,1.0,100.0,Alwal,3
194,1300.0,2.0,1.0,80.0,Alwal,3
195,1092.0,3.0,1.0,95.0,Alwal,3
196,1185.0,2.0,2.0,42.67,Alwal,2
197,2273.0,3.0,2.0,145.0,Alwal,3
198,1300.0,2.0,2.0,56.0,Alwal,2
199,1361.0,2.0,2.0,79.0,Alwal,2
200,1260.0,2.0,1.0,80.0,Alwal,3
201,1050.0,2.0,2.0,35.0,Alwal,2
202,2800.0,4.0,2.0,252.0,Alwal,4
