area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,19-Dec,2 BHK,Coomee ,1056,2,1,39.07,Amberpet
Plot  Area,Ready To Move,4 Bedroom,Goardth,2894,4,1,245,Amberpet
Plot  Area,Ready To Move,4 Bedroom,,1200,5,,325,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Bhinglv,1084,2,2,50,Amberpet
Built-up  Area,Ready To Move,2 BHK,,1000,2,1,25,Amberpet
Built-up  Area,Ready To Move,4 BHK,LiaveEn,1150,4,2,260,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Aahts H,1230,2,2,80,Amberpet
Built-up  Area,18-Mar,4 Bedroom,Toainnt,3090 - 5002,4,0,445,Amberpet
Super built-up  Area,Ready To Move,3 BHK,,1750,3,2,130,Amberpet
Built-up  Area,Ready To Move,2 BHK,Prs 2hi,995,2,1,41,Amberpet
Super built-up  Area,18-Oct,3 BHK,SunceEs,1305,3,1,33.28,Amberpet
Super built-up  Area,Ready To Move,3 BHK,,1260,2,3,40.32,Amberpet
Super built-up  Area,Ready To Move,2 BHK,BrlisCo,1360,2,1,95,Amberpet
Built-up  Area,Ready To Move,2 BHK,Foghaa ,1040,2,2,50,Amberpet
Super built-up  Area,Ready To Move,3 BHK,,1655,3,2,86.06,Amberpet
Super built-up  Area,Ready To Move,4 BHK,AjityIn,2900,3,,135,Amberpet
Super built-up  Area,19-Mar,4 BHK,Raard B,2790,5,3,198,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Kamesar,1028,2,1,42,Amberpet
Super built-up  Area,Ready To Move,2 BHK,GRlpank,1300,2,3,57,Amberpet
Plot  Area,Ready To Move,7 Bedroom,,1400,6,3,200,Amberpet
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1564,3,1,101,Amberpet
Built-up  Area,Ready To Move,2 BHK,,1012,2,1,59,Amberpet
Super built-up  Area,Ready To Move,4 BHK,Prionad,2519,5,2,185,Amberpet
Built-up  Area,Ready To Move,3 Bedroom,,3000,3,0,338,Amberpet
